,created_by,created_at,closed_by,closed_at,labels,interactions,repository,type,size,merged_at,commits_number,referenced_issues,reviews,requested_reviewers
52,fridex,1524117612,fridex,1528735017.0,"['enhancement', 'good first issue']",{'fridex': 5},thoth-station/core,Issue,,,,,,
53,goern,1523964156,goern,1524218206.0,['bug'],{'goern': 4},thoth-station/core,Issue,,,,,,
54,fridex,1523938896,sesheta,1528816814.0,"['enhancement', 'good first issue']",{},thoth-station/core,Issue,,,,,,
55,fridex,1523893809,goern,1573402542.0,['good first issue'],{},thoth-station/core,Issue,,,,,,
56,goern,1523459974,goern,1573402542.0,"['enhancement', 'good first issue']",{'goern': 57},thoth-station/core,Issue,,,,,,
0,goern,1590135121,,,['size/M'],{'thoth-zuul[bot]': 8},thoth-station/core,PullRequest,M,,1.0,[],{},[]
1,harshad16,1589316297,thoth-zuul[bot],1589350137.0,"['approved', 'size/M']","{'sesheta': 38, 'thoth-zuul[bot]': 18}",thoth-station/core,PullRequest,M,1589350137.0,1.0,[],"{'410684771': {'author': 'goern', 'words_count': 1, 'submitted_at': 1589350078, 'state': 'APPROVED'}}",[]
2,fridex,1585912780,thoth-zuul[bot],1585913420.0,"['approved', 'size/XS']",{'thoth-zuul[bot]': 18},thoth-station/core,PullRequest,XS,1585913420.0,1.0,[],"{'387255764': {'author': 'harshad16', 'words_count': 2, 'submitted_at': 1585913366, 'state': 'APPROVED'}}",[]
3,fridex,1579188646,thoth-zuul[bot],1579188758.0,"['approved', 'size/XS']",{'thoth-zuul[bot]': 18},thoth-station/core,PullRequest,XS,1579188758.0,1.0,[],"{'344048743': {'author': 'goern', 'words_count': 1, 'submitted_at': 1579188702, 'state': 'APPROVED'}}",[]
4,fridex,1578053238,thoth-zuul[bot],1579072186.0,"['approved', 'size/S']",{'thoth-zuul[bot]': 18},thoth-station/core,PullRequest,S,1579072186.0,1.0,[],"{'343041389': {'author': 'goern', 'words_count': 1, 'submitted_at': 1579072116, 'state': 'APPROVED'}}",[]
5,goern,1575011630,thoth-zuul[bot],1575011919.0,"['approved', 'do-not-merge/work-in-progress', 'size/S']",{'thoth-zuul[bot]': 18},thoth-station/core,PullRequest,S,1575011919.0,1.0,[],"{'324570930': {'author': 'CermakM', 'words_count': 30, 'submitted_at': 1575011850, 'state': 'APPROVED'}}","['fridex', 'harshad16', 'pacospace']"
6,dependabot[bot],1571405723,,,"['dependencies', 'size/L']",{'thoth-zuul[bot]': 8},thoth-station/core,PullRequest,L,,1.0,[],{},[]
7,dependabot[bot],1571405691,,,"['dependencies', 'size/M']",{'thoth-zuul[bot]': 8},thoth-station/core,PullRequest,M,,1.0,[],{},[]
8,bissenbay,1570534702,thoth-zuul[bot],1570984859.0,"['approved', 'size/S', 'size/XS']",{'thoth-zuul[bot]': 26},thoth-station/core,PullRequest,S,1570984859.0,1.0,[],"{'301060747': {'author': 'goern', 'words_count': 1, 'submitted_at': 1570984803, 'state': 'APPROVED'}}",['fridex']
9,bissenbay,1570534392,thoth-zuul[bot],1570623282.0,"['approved', 'size/XS']",{'thoth-zuul[bot]': 18},thoth-station/core,PullRequest,XS,1570623282.0,1.0,[],"{'298765842': {'author': 'goern', 'words_count': 1, 'submitted_at': 1570534478, 'state': 'COMMENTED'}, '298780673': {'author': 'fridex', 'words_count': 1, 'submitted_at': 1570535699, 'state': 'COMMENTED'}, '299443175': {'author': 'goern', 'words_count': 1, 'submitted_at': 1570623228, 'state': 'APPROVED'}}",['fridex']
